libCode,libName,address,tel,fax,latitude,longitude,homepage,closed,operatingTime,BookCount
127058,2.28도서관,대구광역시 중구 2·28길 9,053-257-2280,053-257-2284,35.8592504,128.5894055,http://library.daegu.go.kr/228lib/index.do,"매주 월요일 / 법정공휴일(일요일을 제외한 관공서 공휴일), 도서관 및 기타 사정으로 위탁기관장이 정하는 날","화~금 09:00~18:00, 토일 09:00~17:00",55707
148096,U보라작은도서관,"경상남도 김해시 전하로176번길 71, 반도보라아파트 주민공동시설 2층",055-324-3335,-,35.223558,128.874226,http://lib.gimhae.go.kr/01293/01298/00212.web,"매주 일요일 / 법정공휴일, 임시공휴일",-,8001
111456,가락몰도서관,서울특별시 송파구 양재대로 932,02-3435-0950,02-3435-0959,37.492994,127.112326,http://www.splib.or.kr/spalib/,"매주 월요일 / 법정공휴일, 기타 도서관 사정에 의해 관장이 정한 날",09:00 ~ 18:00,38504
125010,가수원도서관,대전광역시 서구 가수원로 91-11,042-288-4770,042-288-5937,36.3019,127.348812,http://www.seogu.go.kr/learning/gasuwonlib/index.do,"매주 월요일 / 국경일, 정부에서 정한 공휴일, 도서관 사정으로 인한 휴관하는 날",09:00~22:00,192033
111287,가슴따뜻한작은도서관,서울특별시 서대문구 응암로1길 10,02-330-8652,-,37.5814481,126.9111617,http://lib.sdm.or.kr,휴관중 (2023.1.1.~ 현재) / 2025년 재개관 예정,-,6495
125008,가오도서관,대전광역시 동구 동구청로 147,042-259-7051,042-224-6171,36.3124314,127.4553237,https://www.donggu.go.kr/dg/lib,"매주 월요일 / 공휴일, 기타 평생학습과장이 필요하다고 인정되는 경우",08:00~22:00,119077
131059,가온누리작은도서관,"울산광역시 북구 신천소공원로 15, 108동 1층",052-292-2774,-,35.6454614,129.346506,https://usbl.bukgu.ulsan.kr/,"매주 토요일, 일요일 / 법정공휴일",-,11636
111108,가온도서관,서울특별시 중구 동호로 14길 18,02-2230-2921,02-2285-4607,37.5563885,127.010869,https://www.junggulib.or.kr,매주 월요일 / 법정공휴일,-,98325
127065,가창면 참꽃 작은도서관,대구광역시 달성군 가창면 가창로220길 8,053-760-7731,-,35.8023213,128.623414,http://dalseong.daegu.kr/culture/index.do?menu_id=00001924,-,-,20512
141143,가평군 설악도서관,경기도 가평군 설악면 자잠로 65,031-580-4313,031-580-2289,37.683239,127.4908736,https://www.gaplib.go.kr,"신정, 설연휴, 추석연휴","평일 09:00~22:00, 주말 10:00~18:00(자료실 운영기준)",95894
